File,Lines,Complexity,Methods,Test Coverage,Duplication %,Issues Count,Main Issues
"test-results\assets\index-D_ryMEPs.js",59,8665,4425,"Not Covered",12.28,3,"High Complexity;Deep Nesting;Technical Debt Markers"
"eap-analyzer\dist-cjs\modules\structure-analyzer\index.js",1246,220,122,"Not Covered",13.83,1,"High Complexity"
"eap-analyzer\src\modules\structure-analyzer\index.js",1413,215,121,"Not Covered",13.26,1,"High Complexity"
"scripts\advanced-project-analyzer.js",1312,201,120,"Not Covered",7.90,1,"High Complexity"
"eap-analyzer\src\modules\refactoring-analyzer\analyzer.ts",905,193,116,"Not Covered",16.50,2,"High Complexity;Poor Documentation"
"emt-v3-stable-clean\project-detector.js",1420,179,78,"Not Covered",16.74,1,"High Complexity"
"emt-v3-stable-clean\utils\project-detector-v3.0-stable.js",1420,179,78,"Not Covered",16.74,1,"High Complexity"
"eap-analyzer\src\modules\ai-insights\pattern-recognizer.ts",931,154,55,"Not Covered",11.17,1,"High Complexity"
"eap-analyzer\dist-cjs\modules\ai-insights\pattern-recognizer.js",663,149,55,"Not Covered",10.22,1,"High Complexity"
"eap-analyzer\dist-cjs\modules\structure-analyzer\complexity-calculator.js",514,139,48,"Not Covered",16.59,2,"High Complexity;Poor Documentation"
"scripts\project-structure-analyzer.js",762,135,62,"Not Covered",7.96,1,"High Complexity"
"src\lib\config\management.ts",812,134,77,"Not Covered",12.01,1,"High Complexity"
"eap-analyzer\dist-cjs\modules\structure-analyzer\learning.js",583,128,64,"Not Covered",8.56,1,"High Complexity"
"eap-analyzer\src\modules\structure-analyzer\learning.js",640,124,63,"Not Covered",8.79,1,"High Complexity"
"src\lib\cache\optimized.ts",981,123,64,"Not Covered",19.48,1,"High Complexity"
"src\lib\monitoring\system.ts",848,123,62,"Not Covered",22.92,1,"High Complexity"
"src\lib\errorHandling\system.ts",797,119,57,"Not Covered",13.84,1,"High Complexity"
"eap-analyzer\src\modules\structure-analyzer\complexity-calculator.ts",639,118,38,"Not Covered",16.15,2,"High Complexity;Poor Documentation"
"eap-analyzer\dist-cjs\modules\structure-analyzer\index-new.js",804,114,81,"Not Covered",14.48,1,"High Complexity"
"eap-analyzer\src\modules\structure-analyzer\index-new.js",924,114,81,"Not Covered",14.62,1,"High Complexity"
"eap-analyzer\dist-cjs\checkers\code-quality.js",639,113,48,"Not Covered",30.94,2,"High Complexity;Poor Documentation"
"eap-analyzer\src\checkers\code-quality.ts",673,113,48,"Not Covered",30.43,2,"High Complexity;Poor Documentation"
"eap-analyzer\dist-cjs\modules\ai-insights\pattern-matchers.js",397,112,56,"Not Covered",25.35,1,"High Complexity"
"src\lib\migrations\system.ts",830,112,87,"Not Covered",14.21,1,"High Complexity"
"src\lib\security\optimized.ts",982,108,61,"Not Covered",16.82,1,"High Complexity"
"eap-analyzer\src\checkers\dependencies.ts",744,106,62,"Not Covered",32.43,2,"High Complexity;Poor Documentation"
"eap-analyzer\src\checkers\vitest.ts",733,106,56,"Not Covered",30.98,2,"High Complexity;Poor Documentation"
"eap-analyzer\dist-cjs\analyzer.js",571,105,50,"Not Covered",7.06,1,"High Complexity"
"eap-analyzer\dist-cjs\checkers\ci-cd.js",523,105,37,"Not Covered",32.25,2,"High Complexity;Poor Documentation"
"eap-analyzer\dist-cjs\checkers\dependencies.js",705,105,62,"Not Covered",31.88,2,"High Complexity;Poor Documentation"
"eap-analyzer\dist-cjs\checkers\vitest.js",686,105,56,"Not Covered",30.50,2,"High Complexity;Poor Documentation"
"eap-analyzer\src\checkers\ci-cd.ts",566,105,37,"Not Covered",33.85,2,"High Complexity;Poor Documentation"
"eap-analyzer\src\modules\ai-insights\analyzer.ts",795,105,81,"Not Covered",12.76,1,"High Complexity"
"eap-analyzer\dist-cjs\modules\structure-analyzer\file-classifier.js",454,101,36,"Not Covered",11.38,1,"High Complexity"
"eap-analyzer\dist-cjs\testing\bug-fix-tester.js",452,101,45,"Not Covered",35.71,2,"High Complexity;Poor Documentation"
"src\lib\pwa\manager.ts",558,101,69,"Not Covered",7.04,2,"High Complexity;Poor Documentation"
"eap-analyzer\src\core\report-generator.ts",440,99,34,"Not Covered",6.83,2,"High Complexity;Poor Documentation"
"eap-analyzer\dist-cjs\checkers\logging.js",561,94,40,"Not Covered",27.14,3,"High Complexity;Deep Nesting;Poor Documentation"
"eap-analyzer\dist-cjs\utils\adaptive-thresholds.js",381,94,44,"Not Covered",10.73,1,"High Complexity"
"eap-analyzer\src\checkers\logging.ts",606,94,40,"Not Covered",27.27,3,"High Complexity;Deep Nesting;Poor Documentation"
"eap-analyzer\src\modules\ai-insights\pattern-matchers.ts",413,92,47,"Not Covered",23.90,1,"High Complexity"
"eap-analyzer\src\modules\structure-analyzer\file-classifier.ts",485,91,25,"Not Covered",11.24,1,"High Complexity"
"eap-analyzer\dist-cjs\modules\structure-analyzer\advanced-analyzer.js",483,90,57,"Not Covered",6.15,1,"High Complexity"
"src\lib\logger\types\types.ts",199,87,12,"Not Covered",4.55,2,"High Complexity;Poor Documentation"
"eap-analyzer\dist-cjs\checkers\emt.js",468,86,40,"Not Covered",22.83,2,"High Complexity;Poor Documentation"
"eap-analyzer\src\modules\structure-analyzer\advanced-analyzer.js",569,86,56,"Not Covered",8.99,1,"High Complexity"
"src\lib\utils\formatters.test.fixed.ts",164,85,0,"Not Covered",0.00,2,"High Complexity;Poor Documentation"
"src\lib\utils\formatters.test.new.ts",167,85,0,"Not Covered",4.42,2,"High Complexity;Poor Documentation"
